uuid,f_address,Match_addr,Longitude,Latitude,Addr_type,Score,Status,Region,RegionAbbr,Subregion,MetroArea,City,Nbrhd,geometry,Match_type,LongLabel,ShortLabel,Type,PlaceName,Place_addr,Phone,URL,Rank,AddBldg,AddNum,AddNumFrom,AddNumTo,AddRange,Side,StPreDir,StPreType,StName,StType,StDir,BldgType,BldgName,LevelType,LevelName,UnitType,UnitName,SubAddr,StAddr,Block,Sector,District,Territory,Zone,Postal,PostalExt,Country,LangCode,Distance,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax,ExInfo
25,"Chandler, AZ","Chandler, Arizona",-111.84082999999998,33.30338000000006,Locality,100.0,M,Arizona,AZ,Maricopa County,Phoenix Metro Area,Chandler,,POINT (-111.84083 33.30338000000006),A,"Chandler, AZ, USA",Chandler,City,Chandler,"Chandler, Arizona",,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-111.84082999999998,33.30338000000006,-111.93482999999998,-111.74682999999999,33.20938000000006,33.39738000000006,
26,"Chandler, AZ","Chandler, Arizona",-111.84082999999998,33.30338000000006,Locality,100.0,M,Arizona,AZ,Maricopa County,Phoenix Metro Area,Chandler,,POINT (-111.84083 33.30338000000006),A,"Chandler, AZ, USA",Chandler,City,Chandler,"Chandler, Arizona",,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-111.84082999999998,33.30338000000006,-111.93482999999998,-111.74682999999999,33.20938000000006,33.39738000000006,
27,"Chandler, Az","Chandler, Arizona",-111.84082999999998,33.30338000000006,Locality,100.0,M,Arizona,AZ,Maricopa County,Phoenix Metro Area,Chandler,,POINT (-111.84083 33.30338000000006),A,"Chandler, AZ, USA",Chandler,City,Chandler,"Chandler, Arizona",,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-111.84082999999998,33.30338000000006,-111.93482999999998,-111.74682999999999,33.20938000000006,33.39738000000006,
28,"PHOENIX, AZ","Phoenix, Arizona",-112.07579999999996,33.44825000000003,Locality,100.0,M,Arizona,AZ,Maricopa County,Phoenix Metro Area,Phoenix,,POINT (-112.0758 33.44825000000003),A,"Phoenix, AZ, USA",Phoenix,City,Phoenix,"Phoenix, Arizona",,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-112.07579999999996,33.44825000000003,-112.33279999999996,-111.81879999999995,33.19125000000003,33.70525000000003,
29,"Phoenix, AZ","Phoenix, Arizona",-112.07579999999996,33.44825000000003,Locality,100.0,M,Arizona,AZ,Maricopa County,Phoenix Metro Area,Phoenix,,POINT (-112.0758 33.44825000000003),A,"Phoenix, AZ, USA",Phoenix,City,Phoenix,"Phoenix, Arizona",,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-112.07579999999996,33.44825000000003,-112.33279999999996,-111.81879999999995,33.19125000000003,33.70525000000003,
30,"Chandler, AZ","Chandler, Arizona",-111.84082999999998,33.30338000000006,Locality,100.0,M,Arizona,AZ,Maricopa County,Phoenix Metro Area,Chandler,,POINT (-111.84083 33.30338000000006),A,"Chandler, AZ, USA",Chandler,City,Chandler,"Chandler, Arizona",,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-111.84082999999998,33.30338000000006,-111.93482999999998,-111.74682999999999,33.20938000000006,33.39738000000006,
31,"Phoenix, AZ","Phoenix, Arizona",-112.07579999999996,33.44825000000003,Locality,100.0,M,Arizona,AZ,Maricopa County,Phoenix Metro Area,Phoenix,,POINT (-112.0758 33.44825000000003),A,"Phoenix, AZ, USA",Phoenix,City,Phoenix,"Phoenix, Arizona",,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-112.07579999999996,33.44825000000003,-112.33279999999996,-111.81879999999995,33.19125000000003,33.70525000000003,
32,"Chandler, AZ","Chandler, Arizona",-111.84082999999998,33.30338000000006,Locality,100.0,M,Arizona,AZ,Maricopa County,Phoenix Metro Area,Chandler,,POINT (-111.84083 33.30338000000006),A,"Chandler, AZ, USA",Chandler,City,Chandler,"Chandler, Arizona",,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-111.84082999999998,33.30338000000006,-111.93482999999998,-111.74682999999999,33.20938000000006,33.39738000000006,
33,"Phoenix, AZ","Phoenix, Arizona",-112.07579999999996,33.44825000000003,Locality,100.0,M,Arizona,AZ,Maricopa County,Phoenix Metro Area,Phoenix,,POINT (-112.0758 33.44825000000003),A,"Phoenix, AZ, USA",Phoenix,City,Phoenix,"Phoenix, Arizona",,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-112.07579999999996,33.44825000000003,-112.33279999999996,-111.81879999999995,33.19125000000003,33.70525000000003,
34,"Chandler, AZ","Chandler, Arizona",-111.84082999999998,33.30338000000006,Locality,100.0,M,Arizona,AZ,Maricopa County,Phoenix Metro Area,Chandler,,POINT (-111.84083 33.30338000000006),A,"Chandler, AZ, USA",Chandler,City,Chandler,"Chandler, Arizona",,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-111.84082999999998,33.30338000000006,-111.93482999999998,-111.74682999999999,33.20938000000006,33.39738000000006,
35,"Chandler, AZ","Chandler, Arizona",-111.84082999999998,33.30338000000006,Locality,100.0,M,Arizona,AZ,Maricopa County,Phoenix Metro Area,Chandler,,POINT (-111.84083 33.30338000000006),A,"Chandler, AZ, USA",Chandler,City,Chandler,"Chandler, Arizona",,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-111.84082999999998,33.30338000000006,-111.93482999999998,-111.74682999999999,33.20938000000006,33.39738000000006,
36,"Chandler, AZ","Chandler, Arizona",-111.84082999999998,33.30338000000006,Locality,100.0,M,Arizona,AZ,Maricopa County,Phoenix Metro Area,Chandler,,POINT (-111.84083 33.30338000000006),A,"Chandler, AZ, USA",Chandler,City,Chandler,"Chandler, Arizona",,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-111.84082999999998,33.30338000000006,-111.93482999999998,-111.74682999999999,33.20938000000006,33.39738000000006,
37,"Chandler, AZ","Chandler, Arizona",-111.84082999999998,33.30338000000006,Locality,100.0,M,Arizona,AZ,Maricopa County,Phoenix Metro Area,Chandler,,POINT (-111.84083 33.30338000000006),A,"Chandler, AZ, USA",Chandler,City,Chandler,"Chandler, Arizona",,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-111.84082999999998,33.30338000000006,-111.93482999999998,-111.74682999999999,33.20938000000006,33.39738000000006,
38,"Phoenix, AZ","Phoenix, Arizona",-112.07579999999996,33.44825000000003,Locality,100.0,M,Arizona,AZ,Maricopa County,Phoenix Metro Area,Phoenix,,POINT (-112.0758 33.44825000000003),A,"Phoenix, AZ, USA",Phoenix,City,Phoenix,"Phoenix, Arizona",,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-112.07579999999996,33.44825000000003,-112.33279999999996,-111.81879999999995,33.19125000000003,33.70525000000003,
39,"Chandler, AZ","Chandler, Arizona",-111.84082999999998,33.30338000000006,Locality,100.0,M,Arizona,AZ,Maricopa County,Phoenix Metro Area,Chandler,,POINT (-111.84083 33.30338000000006),A,"Chandler, AZ, USA",Chandler,City,Chandler,"Chandler, Arizona",,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-111.84082999999998,33.30338000000006,-111.93482999999998,-111.74682999999999,33.20938000000006,33.39738000000006,
